,掛牌日期,幣別,現金買入,現金賣出,即期買入,即期賣出
31,2020/03/16,美金 (USD),29.765,30.435,30.115,30.215
32,2020/03/13,美金 (USD),29.74,30.41,30.09,30.19
33,2020/03/12,美金 (USD),29.68,30.35,30.03,30.13
34,2020/03/11,美金 (USD),29.66,30.33,30.01,30.11
35,2020/03/10,美金 (USD),29.59,30.26,29.94,30.04
36,2020/03/09,美金 (USD),29.68,30.35,30.03,30.13
37,2020/03/06,美金 (USD),29.585,30.255,29.935,30.035
38,2020/03/05,美金 (USD),29.52,30.19,29.87,29.97
39,2020/03/04,美金 (USD),29.6,30.27,29.95,30.05
40,2020/03/03,美金 (USD),29.63,30.3,29.98,30.08
41,2020/03/02,美金 (USD),29.69,30.36,30.04,30.14
42,2020/02/27,美金 (USD),29.85,30.52,30.2,30.3
43,2020/02/26,美金 (USD),29.96,30.63,30.31,30.41
44,2020/02/25,美金 (USD),29.94,30.61,30.29,30.39
45,2020/02/24,美金 (USD),30.04,30.71,30.39,30.49
46,2020/02/21,美金 (USD),29.995,30.665,30.345,30.445
47,2020/02/20,美金 (USD),29.84,30.51,30.19,30.29
48,2020/02/19,美金 (USD),29.705,30.375,30.055,30.155
49,2020/02/18,美金 (USD),29.7,30.37,30.05,30.15
50,2020/02/17,美金 (USD),29.595,30.265,29.945,30.045
51,2020/02/15,美金 (USD),29.6,30.27,29.95,30.05
52,2020/02/14,美金 (USD),29.61,30.28,29.96,30.06
53,2020/02/13,美金 (USD),29.58,30.25,29.93,30.03
54,2020/02/12,美金 (USD),29.595,30.265,29.945,30.045
55,2020/02/11,美金 (USD),29.63,30.3,29.98,30.08
56,2020/02/10,美金 (USD),29.65,30.32,30.0,30.1
57,2020/02/07,美金 (USD),29.705,30.375,30.055,30.155
58,2020/02/06,美金 (USD),29.635,30.305,29.985,30.085
59,2020/02/05,美金 (USD),29.695,30.365,30.045,30.145
60,2020/02/04,美金 (USD),29.74,30.41,30.09,30.19
61,2020/02/03,美金 (USD),29.86,30.53,30.21,30.31
62,2020/01/31,美金 (USD),29.79,30.46,30.14,30.24
63,2020/01/30,美金 (USD),29.86,30.53,30.21,30.31
64,2020/01/22,美金 (USD),29.575,30.245,29.925,30.025
65,2020/01/21,美金 (USD),29.585,30.255,29.935,30.035
66,2020/01/20,美金 (USD),29.55,30.22,29.9,30.0
67,2020/01/17,美金 (USD),29.525,30.195,29.875,29.975
68,2020/01/16,美金 (USD),29.53,30.2,29.88,29.98
69,2020/01/15,美金 (USD),29.5,30.17,29.85,29.95
70,2020/01/14,美金 (USD),29.495,30.165,29.845,29.945
71,2020/01/13,美金 (USD),29.54,30.21,29.89,29.99
72,2020/01/10,美金 (USD),29.61,30.28,29.96,30.06
73,2020/01/09,美金 (USD),29.565,30.235,29.915,30.015
74,2020/01/08,美金 (USD),29.655,30.325,30.005,30.105
75,2020/01/07,美金 (USD),29.65,30.32,30.0,30.1
76,2020/01/06,美金 (USD),29.68,30.35,30.03,30.13
77,2020/01/03,美金 (USD),29.64,30.31,29.99,30.09
78,2020/01/02,美金 (USD),29.69,30.36,30.04,30.14
79,2019/12/31,美金 (USD),29.58,30.25,29.93,30.03
80,2019/12/30,美金 (USD),29.62,30.29,29.97,30.07
81,2019/12/27,美金 (USD),29.68,30.35,30.03,30.13
82,2019/12/26,美金 (USD),29.715,30.385,30.065,30.165
83,2019/12/25,美金 (USD),29.69,30.36,30.04,30.14
84,2019/12/24,美金 (USD),29.75,30.42,30.1,30.2
85,2019/12/23,美金 (USD),29.78,30.45,30.13,30.23
86,2019/12/20,美金 (USD),29.75,30.42,30.1,30.2
87,2019/12/19,美金 (USD),29.75,30.42,30.1,30.2
88,2019/12/18,美金 (USD),29.775,30.445,30.125,30.225
89,2019/12/17,美金 (USD),29.755,30.425,30.105,30.205
90,2019/12/16,美金 (USD),29.82,30.49,30.17,30.27
91,2019/12/13,美金 (USD),29.91,30.58,30.26,30.36
92,2019/12/12,美金 (USD),29.95,30.62,30.3,30.4
93,2019/12/11,美金 (USD),30.075,30.745,30.425,30.525
94,2019/12/10,美金 (USD),30.07,30.74,30.42,30.52
95,2019/12/09,美金 (USD),30.08,30.75,30.43,30.53
96,2019/12/06,美金 (USD),30.085,30.755,30.435,30.535
97,2019/12/05,美金 (USD),30.07,30.74,30.42,30.52
98,2019/12/04,美金 (USD),30.1,30.77,30.45,30.55
99,2019/12/03,美金 (USD),30.095,30.765,30.445,30.545
100,2019/12/02,美金 (USD),30.095,30.765,30.445,30.545
101,2019/11/29,美金 (USD),30.1,30.77,30.45,30.55
102,2019/11/28,美金 (USD),30.09,30.76,30.44,30.54
103,2019/11/27,美金 (USD),30.1,30.77,30.45,30.55
104,2019/11/26,美金 (USD),30.11,30.78,30.46,30.56
105,2019/11/25,美金 (USD),30.1,30.77,30.45,30.55
106,2019/11/22,美金 (USD),30.11,30.78,30.46,30.56
107,2019/11/21,美金 (USD),30.115,30.785,30.465,30.565
108,2019/11/20,美金 (USD),30.08,30.75,30.43,30.53
109,2019/11/19,美金 (USD),30.1,30.77,30.45,30.55
110,2019/11/18,美金 (USD),30.09,30.76,30.44,30.54
111,2019/11/15,美金 (USD),30.115,30.785,30.465,30.565
112,2019/11/14,美金 (USD),30.16,30.83,30.51,30.61
113,2019/11/13,美金 (USD),30.1,30.77,30.45,30.55
114,2019/11/12,美金 (USD),30.015,30.685,30.365,30.465
115,2019/11/11,美金 (USD),30.015,30.685,30.365,30.465
116,2019/11/08,美金 (USD),29.995,30.665,30.345,30.445
117,2019/11/07,美金 (USD),29.975,30.645,30.325,30.425
118,2019/11/06,美金 (USD),29.995,30.665,30.345,30.445
119,2019/11/05,美金 (USD),29.945,30.615,30.295,30.395
120,2019/11/04,美金 (USD),29.985,30.655,30.335,30.435
